Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-05-25,64741.4765625,65870.68836300872,64647.37557912427,65776.587379633,14231160
2023-05-26,66152.9765625,66247.07752489332,65400.16886335349,65682.47175053343,19549511
2023-05-30,68034.9921875,68034.9921875,66999.88165629322,67093.98261367566,27476897
2023-05-31,67188.0859375,68223.19650516457,66811.68209471289,68129.09554446778,25666087
2023-06-01,66717.578125,67376.28482016925,66435.27525564175,66717.578125,14669296
2023-06-02,67940.8984375,67940.8984375,67376.29263331025,67470.3936006752,12161798
2023-06-05,67470.390625,68411.40025714783,67188.08773535564,68411.40025714783,12686829
2023-06-07,66811.6796875,67376.28543133802,66623.47777288733,67093.98255941902,14796613
2023-06-08,66717.578125,66717.578125,65870.66951692525,66247.07334273624,19165568
2023-06-09,67752.6875,68034.99036458333,66623.47604166667,66905.77890625,15050209
2023-06-12,66811.6796875,68129.09308978873,66623.47777288733,67846.79021786973,12064287
2023-06-13,67752.6875,67940.88940972222,67376.28368055556,67470.38463541666,13227285
2023-06-14,67658.5859375,67940.88879954797,66905.77830537203,67846.78784553199,12541046
2023-06-15,67282.1796875,68034.9872923951,67093.97778627623,67846.78539117133,13614994
2023-06-16,67564.4921875,67658.59315154944,66717.58351105501,67564.4921875,15373696
2023-06-19,66999.8671875,67470.37187280548,66717.56437631672,67093.9681245611,11100887
2023-06-20,67188.0859375,67188.0859375,66247.07633053222,66529.37921262255,11557883
2023-06-21,66341.1640625,66999.87065602838,66247.06312056737,66529.36594636524,10626603
2023-06-22,67093.9765625,67282.17846029103,65964.76517575386,66058.86612464937,11411007
2023-06-23,67376.28125,67940.88695879887,67376.28125,67752.68505586592,12329484
2023-06-26,68129.09375,68223.19470821823,67282.18512603591,67470.38704247237,10541901
2023-06-27,68317.296875,68317.296875,67752.69111570247,68223.19591511707,9442997
2023-06-28,68411.3984375,68411.3984375,67752.6917125172,68317.29747678817,8783093
2023-06-29,68469.078125,69414.78362396409,68469.078125,69131.07197427486,12229967
2023-06-30,68279.953125,68752.80598597645,67807.10026402354,68563.66484158587,11694765
2023-07-03,69036.515625,69225.65676369863,68658.23334760274,68752.80391695205,10722181
2023-07-04,69036.515625,69603.93904109589,68941.94505565069,69414.79790239726,10214350
2023-07-05,68090.796875,69320.21404079862,67996.22632378472,69036.50238715278,12310610
2023-07-06,67712.5234375,68469.08794518157,67617.95287403981,67996.23512788059,14777667
2023-07-07,66104.8203125,67523.37868830473,66010.24975411303,67239.66701314379,17308877
2023-07-10,65726.546875,66577.68201438848,65442.8351618705,66199.39973021582,11713926
2023-07-11,67617.953125,67617.953125,66293.96523164336,66388.53579545455,12177392
2023-07-12,67996.2265625,68090.79711404728,67239.66215012169,67334.23270166898,10375581
2023-07-13,67996.2265625,68658.22042333102,67996.2265625,68469.07932023643,14417279
2023-07-14,69414.796875,69414.796875,68469.09119550408,68563.66176345368,15882519
2023-07-17,69320.2109375,69509.35203146316,68847.35820259209,69225.64039051841,10060049
2023-07-18,68090.796875,69509.35514322917,68090.796875,69225.64348958334,11697900
2023-07-19,67807.1015625,68847.37787656904,67428.8192664749,68752.80730256277,10896412
2023-07-20,67145.09375,67617.94652288733,66955.95264084508,67239.66430457747,9732730
2023-07-21,66483.109375,66577.679943101,65631.97426209104,66577.679943101,16528926
2023-07-24,66577.6796875,67050.53252618964,66104.82684881036,66293.96798428622,13418597
2023-07-25,66199.3828125,66672.235546875,66010.24171875,66199.3828125,14314945
2023-07-26,66010.2578125,66766.82237195558,64402.558123656876,66010.2578125,30016221
2023-07-27,67807.1015625,67807.1015625,65537.40778634937,66104.83123038703,24261179
2023-07-28,66766.8125,68469.08250708214,66293.95972025495,67901.6591713881,19420683
2023-07-31,66010.2578125,67145.10465168337,66010.2578125,67050.53408175144,13035420
2023-08-01,67239.671875,67334.24244022503,66199.39565752461,66293.96622274964,12299254
2023-08-02,66104.8203125,67145.0964547568,66010.24975411303,66861.38477959586,13835020
2023-08-03,65064.55859375,66388.54670466934,64780.846855695854,66104.83496661519,20087090
2023-08-04,64591.69140625,65348.25587367314,64497.12084782211,65064.54419838946,12360193
2023-08-07,64780.83203125,65442.82593521898,63929.69701186132,64024.26756957117,10968505
